"rating","title","text","publishedDate"
"1","Air France couldn’t care less","Only 2 of our 3 bags made it home to Miami from CDG. Since no one will ever answer the phone, we had to drive to the airport twice to try and locate my bag. The first time, no one from Air France was even at the airport unless they had a flight coming or going. So yet another hour drive to MIA looking for my bag. They have no idea where my bag is and I don’t think I will ever see it again. I am beyond upset as one can imagine. How can my bag be lost when it has my name, address and phone number on it?  Leads me to believe someone is now enjoying its contents.","2022-07-07"
"1","My first experience","First time we preferred to travel Delta operating Air France and felt worst experience in my lifetime Air travel experience since 1985 in different Air craft. Reason behind is we lost one of the checking in bags which contains our life saving medicines. We immediately registered our claim and complaints accordingly highlighting the need of the medicines.Another bag is heavily damaged and not able to pull even. No positive response so far that shows rank in inefficiency. Seeking legal options for being mentally depressed.","2022-07-07"
"1","Mrs.","Never in my life have I experienced worse customer service. I spent countless hours with multiple issues with my booking and nothing was ever fixed. Then I COVERED my suitcase with my work monitors in fragile stickers and out of all my luggage it is the only thing damaged! Not only was my suitcase all cracked up but my monitors are damaged to the point were they can no longer be used. I wrapped them in a down comforter and placed fragile stickers all over! Now that I filed a claim on this 3 weeks ago I still have not received any feedback! And when I call to check on my claim the phone just hangs up. I experienced issues at the beginning middle and end of this booking and I am still going through issues getting compensated for my damaged goods. The customer service reps are rude and the overall customer experience is not worth what they charge. I fully plan on getting in contact with the BBB about this airline. I highly suggest a different airline. Turkish airline is way cheaper anyway! Don’t waste your money here! Nothing but a headache. Trust me!","2022-07-06"
"1","Baggage lost for more than 3 weeks with no help","The worst experience I have ever had taking a flight. 
First, the check in lines were long and there were clearly not enough staff for it. 
Second, the flight delayed for over an hour due to bad arrangement of flights.
Third, more than 5 baggage were lost in a flight which causing a long queue on the luggage center. However, there were only two staff there.
Here comes the worst thing. The staff promised to deliver the missing baggage to my address within a week. Turn out it is still missing while I am writing this comment, which is almost a month since my flight. I tried different methods to contact Air France and it is really hard to call them. There is a email that you will never get a response. There exists a phone number but you had to wait for at least 35 minutes before they pick up your call. I Called a lot in these three weeks ,wasting a lot of times but no one really could help. I went to the airport, imagining someone can help if I meet them, but the baggage service center was closed and all other staffs told me they can do nothing. So basically if you take Air France and the baggage is lost during the flight, you will not be able to do anything and no one from Air France can help you.","2022-07-04"
"1","Lost luggage update","Last week we flew to the dominican republic with Air france on arrival our luggage was not here we filled in necessary forms told our luggage was on next flight next day one week later still no luggage  and no word from Air france the distress they have caused us is dreadful we are wearing a few clothes that we could afford to buy our holiday is ruined their customer service is non existent every time we rang no answer looks like we have to spend the next week as we did the first  with no luggage there should be something done about this company they don't seem to have any regard for their passengers","2022-07-04"
"1","Worst experience ever","Air France lost my luggage, 3 days later and still they are apparently looking for it, I have received no update. Based on other reviews, I don't have high hopes. More than 1 of my flights was also delayed, service onboard was poor, food was terrible. I will never fly Air France again","2022-07-04"
"1","Worst experience I have ever had.","Ground crew was extremely RUDE! 
I asked for help with their self serve baggage process. I said can you please help me with this and she rolled her eyes and said NO! 
Then I am finally relieved to be boarding the plane. When I put my ticket on the scanner that would open the door it wouldn't open. The attendant then took my ticket and my passport but wouldn't tell me why. I asked what the matter was and she said just stand there. Then she had loud words with her co-worker.  It turned out it was just a random check but they could have said this. I was sincerely worried I wasn't going to make my flight. I was the first in line and the last to board. 
When I arrived back in Seattle 2 thirds of the plane received their bags in a timely manner. The rest of us waited for 45 minutes and asked the Air France attendant if more bags were expected to come. She said ""Are you stupid look at the sign""! And she said no more bags were expected. 
So I told her this doesn't make sense. They had 1/3 of my flight that still needed our bags but they also had many bags on the same baggage claim that were not picked up. So I approached her again to point this out and again she said are you stupid! She said of course there is a problem because there is a strike. Just then the rest of the bags came up! 
You literally couldn't pay me to ever fly with Air France again. I am a frequent flyer and this is by far the worst experience I have ever had. Things happen but the least they can do is care. No madam I am not stupid and you and your co-workers are rude at best. You should be ashamed of yourselves and should find a new career that doesn't involve helping people. Air France doesn't deserve my business.","2022-07-04"
"1","36 hours luggage missing no help","Air France Sucks - if you want your luggage to arrive with you avoid this airline 36 hours after arrival I am in New York my luggage is not. Customer service numbers do not answer official baggage claim which took two hours in the airport to file provides no information.!

Avoid Air France if you are flying with baggage.","2022-07-04"
"1","Terrible experience","Worst experience that I ever had.
Terrible company! So many problems and delays all the time.
Do yourself a favour and take another company.","2022-07-04"
"4","A surprisingly good flight","We had a very nice flight, comfortable seats, good check in online, friendly staff and a great entertainment service on board.","2022-07-03"
"1","Airfrance are awful  how they treat families not recommended","AirFrance are the most awful airline we have ever flown with. They knew well in advance about my Sons extra needs with mental health issues (ADHD) and a stomach disease and seemed to do everything to make us unhappy and made my son unwell, to the point he nearly collapsed after we landed. They happily let him starve the long haul flight and did nothing when he was screaming in pain. 
We asked them for nothing but just simple things like not sitting my 5 and 9 year old the other side of the plane to us which they tried to do and wouldn’t help us fix it l, another stress we had to sort outselves.
No one from Airfrance and we were passed round everyone in person wanted to help us. 
So many things went wrong the list is endless and causes so much stress and wrecked the start of our holiday. On the way home we had no choice but to keep paying more and more money just to make sure normal needs were met. We raised a complaint as it was so bad this was two weeks ago and we have heard nothing. 
To top it off we have been treated terrible and they lost all of our luggage containing both my sons sentimental items and special items from my wedding and family members not here anymore. 
Do not consider using Airfrance so many other lovely airlines.","2022-07-02"
"1","horrible","so we are changing flights in france, but since one of our planes got delayed which we got notified 11am the night we were leaving our whole trip got rescheduled. so we have to wait 24 hours on our next flight and all they said was sorry. like when they send a text that late the should be available to questions on costumer service which they were not and that made us confused. so we didn't get any answers or anything.","2022-07-02"
"1","Mrs A.S.","I am so disappointed up to date with the horrible experience that I and my children experienced travelling with airfrance. Until today none of the service memebers ever contacted to apologise. All my luggage from the outbound and inbound flight were badly damaged. We ended up missing most of our flight due to delay. I made a complaint at least to be reimbursed my luggage cost as I have to purchase bags during my return trip as I was unable to use the old one due to the conditions. 

I once admired airfrance but now regretted taking that flight. I have also recommended it to my friend who also had an extreme nightmare with the company and blamed me for misleading her and her family to travel with the worse airline ever. I felt so ashamed.","2022-07-02"
"1","Lost my Bag! Avoid this airline!","I was traveling from LA to Casablanca with a stopover in Paris. My bag was supposed to be there but it got lost… it happens no worries. I fill out a claim telling them exactly where to send the bag and sure enough they put it on the wrong flight and sent it to the wrong place. On top of that they said they’d email me when it arrives (again at the wrong place) and they never did! It’s been 2 weeks and I filed another complaint and got no response. I had to spend $100s of dollars in a foreign country and they don’t even have the decency to reach out. I try calling but I’m on hold forever and then they just hang up. I will never fly Air France again and you should avoid this airline at all costs!","2022-07-01"
"3","Mediocre","This review is based on three different business class flights.

The first leg was from NY, JFK to Paris CDG. The plane was big, my business class seat was comfortable, with enough storage space. They gave us an envelope with mask, wipes etc... Masking was not required but encouraged. I cannot say the plane was clean, there were crumbs around my seat. The entertainment was good, the food was average... I had requested vegetarian and they offered me foie gras !! My risotto was ok, a bit greasy. Overall it was ok. 

The second leg Paris CDG to Yerevan EVN  was horrible. The business class seat was just a regular coach seat that barely reclined. The only difference between back of cabin and business class was that they kept an empty  seat between me and the other guest. They also had food service that was horrible. Overall I would give this leg of my trip only one star.

The third leg was Paris CDG to JFK. Similar to my first leg, it was a decent business class seat with enough storage room. Food was mediocre and entertainment was good. Overall the plane could have been cleaner. In general flight attendants were courteous and friendly. Plane left on time and arrived on time.","2022-07-01"
"1","Worst travel experience of my life and i've traveled a bit","First of all they have  problems with  their staff as all their staff are on stike.  So is it any wonder that the customers are also not happy? 

Flew feom babkok and it was 2 anf a half hours kate. Most people on the plane mised their conection flights and all Air France did  was keep saying sorry. Sorry soryy sorry. So sick of hearing them apoligumude. Apologies are not going to get me my money back or get me home on time for work etc. 

 Then when on the plane  they served the meal and drink within the first hour and nothing again until 8 hours later, 1 hour just before we landed. I was  starving and dehidrated. Thd staff was sitting i t  Le Bar for over 8 hours just chatting. 

They served the snack at the end of the flight and missed of out pastry roll .  

Staff rushing up and  down  kept knocing into me ever when i was moving for them. 

Transitted at CDG airport. I ran all the way and just made it too the plane for Newcadstle.  When i got  off in Newcastle  my case was lost. What a nightmare. Eventualy they found it  in CDG.  They hadn't loaded it onto the plane  too Newcastle.  I spent three days with only one pair of pants. All they could do was say sorry  sorrry sorry. So sick of them saying sorry. Sorry  doesn't fix the fact i lived in one pair of pants for almost 3 full days.  

Sort yourself out Air France!! Needless to say i will  avoiding them like the plague  from now on  .","2022-06-30"
"1","Air France does not compensate the claims","the company lost my luggage and did not compensate anything. After 7 months of emails and telephone calls, I gave up. do not fly Air France!","2022-06-29"
"1","Punked by Air France - Switched from a Non-Stop to Paris to a Bad Connection on Aeromexico via Cancun","I booked a flight for my wife on Air France from Mexico City to Tunis via non-stop to Paris and connecting flight to Tunis.   About 30 hours before departure she received an e-mail from Air France stating an ""Operational Change"" - her non-stop to Paris was now stopping in Cancun to pick up additional passengers and would not allow enough time to transfer in Paris to her connecting flight in Tunis.   So, Air France booked her on an Aeromexico flight to Cancun.   We immediately realized that the new itinerary didn't allow enough time to transfer in Cancun.  We are permanent residents of Mexico, which requires an exit stamp from Immigration at the airport of departure FROM Mexico.   In Mexico City, Immigration is inside of Security.   In Cancun, it's outside Security, which means when you land on a domestic flight, you can't walk to the connecting gate with your boarding pass - you need to go outside Security to the Immigration booth, get you exit card stamp, and go back through the Security line again.   We tried calling the Air France customer service number in Paris to try getting on an earlier flight to Cancun.   Air France's arrogant response was she needed to contact Aeromexico, because her initial flight was now with them.   We next contacted Aeromexico, and they claimed that since the reservation was with Air France, it was their responsibility to book an earlier flight with them.   So, my wife went to the airport in Mexico City early and went to the Air France counter in Terminal 1 to try to change her flight.   Again, the agent there said they could do nothing about it - it was Aeromexico's responsibility.  Next (at 11am), my wife needed to take a taxi over to Terminal 2, where Aeromexico leaves from.   The Aeromexico agent in Departures said that since her new reservation departs at 5 pm, they couldn't do anything about it until 2 pm.   So, she needed to go over to the Food Court and chill out for 3 hours.   When she came back at 2 pm, they again reiterated that it was Air France's responsibility to put her on an earlier flight to Cancun.   So, she checked in.   The flight to Cancun arrived 15 minutes late.   It took my wife an hour and 15 minutes to go out of Security area to ticketing and the Immigration booth, get her exit card stamp, and go through the Security line again, and find the Air France gate.   She made her flight to Paris with a minute to spare.   Unfortunately, her baggage didn't.   It's still in Cancun.   Aeromexico didn't transfer it to Air France, even on the later flight.   When she finally got to Tunis, the international lost baggage system traced it back to Aeromexico in Cancun.   Hopefully she'll get her luggage in Tunis by tomorrow night , before her tour leaves for the Atlas Mountains.
To summarize, Air France sold a non-stop ticket to Paris in bad faith.   The EU permits ""operational changes"" like an unplanned stop in Cancun to pick up additional passengers and dumping you on another airline that doesn't have any operational coordination for transfers, as long as it's done within 2 hours before departure.   Really no legal recourse for compensation for either the hassle nor the lost luggage.  Delta's  SKY TEAM  is merely a marketing alliance - in terms of accountability, there is none.  It's always ""the other airline's responsibility"".    We've encountered this situation twice before transferring between Delta and Aeromexico.","2022-05-09"
"1","Confirmed worst company ever","Decided to give another chance after some time and for the second time I confirmed it's the worst company ever. Rude personal, zero customer care, they gave us far seats on a 13 hrs flight with no explanation and no sign of trying to help, food is disgusting and the cabin was both times from the 80s I think. Will definitely not give another chance. Horrible","2022-05-07"
"1","Worst aviation experience in my life","I have traveled a lot in my life but never was I treated as badly as with the customer service of AirFrance at CDG. The arrogance and the attitude of the personnel is just dreadful. I would not recommend this airline to anyone and avoid Charles de Gaulle if you can. You might save something with a stopover in CDG, but you'd be better off going to another major EU hub. This airport is not good for non-French citizens.","2022-05-07"
"1","Never again","They say you only get one chance to make a first impression.  Well, I was definitely not impressed and will never set foot on another Air France aircraft.  I have never experienced such a level of indifference and such rude service.  Our first flight from Florence to Paris was delayed by nearly 3 hours while we waited on the plane with very little communication about what was going on.  We of course missed our connection, but thankfully we’re rebooked on another flight a couple hours later (really the only thing they got right).  When we arrived in Detroit, there was no baggage.  The employee at the airport said that this is what Air France does.  Apparently every flight, every day they just don’t load luggage.  When we finally arrived in Minneapolis, airport employees told us again that this is what Air France does best.  Claim was made for the missing baggage. 

Fast forward 2 days and I come to find out our baggage was still in Florence and has yet to be loaded on a flight back to the US.  Glad my luggage got to hang out for a few more days.  Needless to say, 4 days it took for our luggage to arrive.  When I travel  anywhere in Europe again, I will avoid Air France and Charles de Gaulle airport.","2022-05-03"
"1","Horrible and very disappointing customer service","Le fait qu'une grande compagnie comme air France n'accepte pas les paiements au téléphone est aberrant et totalement frustrant. Cela fait 1 semaine que j'essaie de modifier le billet de ma fille de 6 ans et de payer le surplus mais c'est mission impossible. Extrêmement déçue ! 

I bought 2 tickets online and I have been trying to pay for the change in the return ticket if my daughter. I can't do it online because she is a minor and they don't take payments over the phone,  which is so frustrating.  I was sent to the airport to go pay. I travelled 50 km to get there and be told they don't accept any payment either. 

And it's at least 1 or 2 hours of waiting time to speak to an agent on the phone.  Every single time. Been doing this for about a week now. 
Needless to say that I am extremely FRUSTRATED 🤬😤","2022-05-03"
"1","Terrible customer service","Terrible airline, terrible customer service. Will never fly with them again. Also, don't ever sign up for an account with them if you want miles. They will remove your other flyer number to add their own and it's garbage.","2022-05-02"
"1","Air France Customer services  is terrible in Kinshasa!","Hi! I wanna file a complaint against Air France for abusing their power at the N'Djili International Airport Kinshasa.I have a confirmed ticket Air France to transit to Paris and a confirmation ticket Delta as an employee to go to my final destination Atlanta, the customer services agents at the airport gave me a hard time by asking me for a commercial ticket even if I showed them the booking ticket from Delta App , and my US Green card.They told me to reach out to Delta which I did , Delta told me the ticket is not issue yet until I landed to Paris.They were ague to me for lack of knowledge and they don’t know what they are doing for the sake of Lord! I am filling this review for you Guys to take serious your operation in this Airport as an Airlines company.My expérience was bad in any ways, the plane came late in a couple hours and departed late a few hours later.Please these people need training , don’t be so cheap to train your folks and I want an apology for this incident that happened.I worked hard for my money and I expected respect back.Thank you!","2022-04-30"
"1","Charged Twice - Never directly book Air France, always use a travel agency","I booked a ticket via Air France on April 12, on April 13 , 12 hours later   I had to cancel due to my belief I had Covid. I called Air France to cancel and Nyver assured me that he had cancelled the ticket. I requested an email and he told me that he couldn’t do that. He could only give me his name. 

On April 14 my Covid test was negative and I booked another trip exactly like the one I had before. Same destination, same flight, same traveller, same credit card etc.

 And then AIR FRANCE charged me TWICE for the same flight.

The first ticket Locator: W3VK4K was never cancelled as Air France's  agent Nyver had assured me.

LOCATOR 3BCJOP ( the one I actually travelled with ) on April 18- 25 2022 
flights # AF 1127-968 -969-1726. 

The most amazing event was that at the check in counter the AirFrance agent saw I had 2 reservations and said nothing, I noticed in her demeanor. 

Both tickets were charged also to my boyfriends credit card.
I demand a credit for the first ticket from AirFrance.  I have read these in other reviews Air France rarely returns the money and never acknowledge that you cancel within the first 24 hours. Using a travel agent is best, they confirm with an email right away.

Ecaterina Cerbadji","2022-04-28"
"4","Birmingham to Paris, straightforward","The best for price on our family trip to Eurodisney and excellent flight times meaning we maximised the time we got in the parks.  The plane out was delayed due to staff shortages which were known in advance but unfortunately as we were at the boarding gate we weren't informed of anything with no staff present, I'm not sure if this is the airline or the airports fault but unprofessional.

Once aboard the experience was good, the five of us were seated together and we got a drink and light snack on both flights which is always appreciated.

If prices are competitive I would certainly use Air France again.","2022-04-27"
"1","Impossible to get a refund.","Level of assistance is the worst of many companies I had to deal with. Impossible to contact a person, even when they say ""it's a human"" - it doesn't mean it is...","2022-04-26"
"2","Nightmarish experience at Sky Priority Check in at o'Hare","Today, I learnt my French grand ma was dying.  I booked a flight last minute, for myself and my 5 years old. My French friends who just came back from France told me I didn't need a Covid test. Phew, as I had to pack, in one hour, everything.
I show up at Sky Priority Check in. After a while, finally I was able to check in. They ask if I had a booster shot. I said yes and gave the date. They needed proof. Unfortunately, my records were not up to date. 

They tell me to get a covid test done at the airport, terminal 2. The nightmare is just starting. With my 3 pieces of luggage, my car seat and my 5 year old, I go to terminal 2 (from terminal 5). There? Nothing. I ask around, and they tell me to go to terminal 1. There? Nothing. They tell me to get on a bus to go by the rentals. Finally, I arrive, after 45 min going all around the airport with all my luggage and my kiddo. I don't have time anymore. . Takes me 5 min to ter 5.

I let them know that they sent me in the opposite direction. Did I get any excuse of any kind? Absolutely zero. zero. zero. They told me it was there, they sent people there earlier today? Seriously? Very very bad service.

I finally call the pharmacy, they send me a picture of my updated card they just did manually on the spot. Ouf.

BUT now, only now does the staff sees that my son's passport is not valid because it expires 2 month after return, So I went  on a wild goose chaseothing. And they never ever apologized.
This is by far my worst experience ever.","2022-04-25"
"5","Worth every Cent","This is a Summer offering from AF and as services start to return to the new normal with a lot of carriers offering less and less and some who have gone so far down hill it is doubtful if they will ever get back on track it was nice to experience a ull service flight of 9hours 40 mins with a motivated crew who worked hard and knew they had three days rest in Vancouver - the pre ordered meal was available the drinks flowed from champagne on the ground to a first class offerings in the air -in all a very comfortable flight even though the aircraft was 12 years old","2022-04-25"
"4","Great reputation","This airline has a reputation for great cuisine and I was pleased with my choice. The other options on the menu looked equally as good. Even with the disruption caused by the pandemic, we had a lovely flight. The plane was spotless and the flight attendants were very helpful. Overall, I had a great experience. Will definitely use their services again.","2022-04-25"
"2","Horrible customer service","I find Air France customer service calamitous!

After booking and paying for a flight online, the Air France website tells me ""We have received your payment"". Also, I receive an email confirming the reservation.
About 2 weeks later, I learn (after 30 minutes of waiting on my 4th attempt to reach them by phone and while my 3 emails remained unanswered) that my reservation was canceled due to a payment problem.

I am told that there is no other solution: I have to redo the reservation by myself, modify my travel dates and pay 23% more!!!

I have since been trying to file a complaint (5 attempts already) on the Air France site but, as luck would have it, sending the complaint fails each time. Many companies purposely make filing a complaint complicated and time-consuming, so most unhappy customers give up on the way.

I would find that unworthy of a company such as Air France claims to be. I will not give up.","2022-04-22"
"4","Excel. (Serv. +Attendant) & V.G. (Meal +Screen+Boarding +Check In +Dep.& Arriv. +Toilet +On-line Reserv.) == 8.3/10","- I ride 4 Airplanes that were (3+4+3) seat system & semi Full.
- Meal: is good but sometimes without Options and not v. large Size but semi tasted … At long-distant Trip, add another multi types snack Box meal plus at rear plane have open Drinks & often different speed Snacks.
- Entertainment Screen: full of Options otherwise I can’t find famous new release Movies or Arabic Subtitles or Games but screen has another up-normal activities.  
- On-line Reservation: no Matrix price option for flexible dates & Payment page add Fee depends on your type of Pay & I don’t know, I can Redeem any points or not that will determine Reservation availability in the future.
- Check In & Boarding: in (Punta Cana).PUJ.DO was not Comfortable include took my Passport to check inside saying: it’s normal for not EU ones & gave me good new idea unique one Boarding pass paper for 2 trips containing 2*1 Pass.
- Dep. & Arriv.: Good but one of them departed from CDG Airport waited around 1 hr. on the running field to take off, but it may have a reason, and at last landed after a semi-long trip with a little late of arrival.
Toilet: normal with Soap only and sometimes with a good Smile.","2022-04-21"
"5","a Flight to Paradise","Excellent service on AF  and although it is a very long flight , it was a good experience, 24h Paris to Papeete with a   lay over in LA , ( going through immigration and security )  one wonders why us airports do not offer international transit, to avoid that piece .","2022-04-19"
"1","Abysmal customer service","I have NEVER come across such a sarcastic and rude air steward. First he presents two types sandwiches in a tray with no explanation of what is on either, they are just held in front of you! I then asked for a cup of tea, to which he replied “tea please”! He then did the same with passengers in front of me as they laughed embarrassingly, stating manners mattered to him! If he had cared to listen he would have heard that I did say please, but too interested in his supposed superiority! I suggest he takes training in customer service and how not be so rude and to learn to speak clearly over the intercom, as he mumbled each announcement. He must also be aware that he is dealing with different languages and cultures and not just French speaking people whom may clearly understand him. He walked up and down aisle and missed a closed window blind for take off twice! If this is representative of Air France, then they have a problem and I would not choose to fly with them. Flight AF1735 Berlin to Paris 12.15 on 19th April 2022.","2022-04-19"
"5","Great service","We flew from Paris to Cairo then Back on Air France. We flew on Boing 777 both times. The seats were 2-3-2 layout. I was kinda concerned but found it ok. Going was an eveing flight and we were served adinner that was great. On the flight from Cairo to Paris it was very early flight 100am. They served breakfast just before landing. Both times service was super. Just wish the departure & arrival times were better.","2022-04-18"
"1","Missing Baggage Hell in Anantanarivo, Madagascar","Food was good, as expected.  In-flight service was average to below average. However, my bag did not arrive. I was told that the bag would arrive on the next flight (3 days out), and I had to come to collect it at the airport. Miserable start to a bucket-list vacation. Bought clothes and toiletries for the three days (no kit was available, no information on re-imbursement was available from Air France staff on the ground). Came to Airport on 4th day (my holiday schedule disrupted). Collected bag... inside was badly messed up with packets of snacks opened and spilled everywhere. No information on reimbursement at the point of pickup.  Filed compensation form, acknowledged but still no response at almost a month!  All the horror stories on Air France at the various sites are validated.  Had no other option  since only AF was flying to TNR at the time.  I wish I could say never again, but unfortunately they are the only game in town, relative to my oft-visited destinations and airline alliance membership!","2022-04-18"
"2","New Equipment, Generous Recline, Atrocious Service","Flying Blue miles provide average value for getting across the Atlantic. With amex membership rewards points, we were able to fly from Seattle to Italy round trip in an open-jaw itinerary for ~55,000 points + $250 per person. At the time of booking this netted us a total value of ~1.2 cents per point, though the availability of cheap fares if you look hard enough makes this an average value redemption big picture. Any value attained from a points booking is the last positive point of the flying experience.

Ground Experience:
Check in started the flight off on a bad note. Since we were booking with Flying Blue miles, Air France would not allow us to add our Delta frequent flyer numbers to the reservation, which would have entitled us to SkyTeam Elite Plus level benefits. Even though we were checking in in Seattle (one of partner Delta's hubs), Air France check in was handled by Swissport contractors who did not know what they were doing. Agent Thy was downright rude to us when we asked her to give us the elite benefits (like priority baggage tags) that we were entitled to. The funny thing was that even though we were denied priority baggage, our boarding passes were still marked with the priority boarding group. Boarding was also disorganized, between the lack of clear signage and the gate staff's lack of knowledge around the facial-recognition system that they were piloting. If you are a US citizen, the facial recognition system is only of some privacy concern since DHS states in their terms of service that images will only be kept for 12 hours. Noncitizens, however, are not entitled to the same rights, creating a compelling reason to opt out. Even so, the gate agents were not sure how to disable the machine when someone asked to be opted out.

IFE:
Though I did not use the IFE system to watch any movies, there appeared to be a large selection of English and French titles, and the moving map was comprehensive (no tail camera, though). Wifi was not functional for the duration of the flight.

Food:
While the presentation of the food was subpar, the food itself was slightly above average. Dinner was served rather late, so I decided to get to sleep before the service began. Upon waking up, I was able to venture to the rear galley, where flight attendants had sandwiches and other snacks available for hungry travelers. Breakfast was nothing great, but the warm pastry was satisfying enough before landing. 

Service:
While service on the ground was horrible, service in the air was slightly above average. Flight attendants were brisk but helpful throughout the duration of the flight.

Seat:
This flight was on a 787-9, a very comfortable ride. The pitch was a little tight, though the recline was very generous. The larger windows and higher cabin pressure also contributed to a pleasant hard product experience. 

Though we paid for this flight in miles, we were sure to pay the taxes and fees with the Amex Platinum, for its 5x points on airfare and trip protection benefits. Beware that these protections (as with any credit card), do not automatically offer the ability to cancel because of COVID-fears, only tangible effects (cancelations, delays, etc.)","2022-04-18"
"1","Absolutely disgusting","Would never fly with air france again.

My bag got lost for 3 days going to Cuba, when I finally got it half of its contents had been stolen.

I'm writing this from heathrow Airport while waiting for my bag again which didn't make the flight again despite being at the airport early and my friends getting here fine. 

Customer service is utterly useless, lots of peoples luggage was miss placed both ways not just mine","2022-01-13"
"1","Missing Christmas due to delay","On 24th of December i was travelling from Zurich to Oslo, with a connecting flight from Schipol, Amsterdam. Due to KLM taking too long time loading on the baggages from Amsterdam i lost my airplane, this was confirmed by the pilot when he apologized for the inconvience. 

I then applied for compensation as i am entitled to according to EU laws and regulations, however they refused to pay and said that the circumstances were ""extraordinary"" which they are not according to EU laws. I strongly advise staying away from this airline, one of the worst airlines i have had experiences with. I am currently in talks with my lawyer to proceed with legal prosecution, just as a matter of principle.","2022-01-12"
"1","Bad","On Air France's website, I carefully booked a round trip ticket where I'd have one baggage on my flight to Toronto and none on my return (I have screenshots too). Once I payed, I saw in my confirmation email that I got no baggages at all. I called, waited an hour, only for the agent not to know what to do. Fine, that's okay but when she tried to ""connect"" me to someone else, during the hold, they hung up on me. Did it again, and was hung up on again. Needless to say, I'm never flying with Air France again.","2022-01-11"
"1","Unreachable, no communication between offices","I have been booking my flights with Airfrance and KLM for the last few years as I am traveling between EU and US often. This time my flight got cancelled and my plans also changed due to covid and I had not been able to reach neither AirFrance or KLM on the phone. I am currently in EU but I purchased my ticked through the US website. When I finally reached the customer service on the phone they told me nothing can be done, because I need to reach out to the US office. My phone carrier is European and they have charged me $200 for making a US phone call. I am requesting compensation for that call from AirFrance. And the US number didn’t even pick up the phone after an hour of waiting, so I couldn’t even handle what I needed to! 
After trying again for a voucher I was told again that nothing can be done from Europe, but I should fill out a form for compensation in the us website. I did that but I hadn’t received any confirmation email, nothing about it for days. At this point my flight is supposed to go the next day and still nothing have happened! I am hugely disappointed in this company!","2022-01-11"
"1","Worst customer service","I've had the worst experience today, we were supposed to fly tomorrow morning with our two little kids. I tried to do an online checkin but got an error message that our tickets were cancelled. I thought it was a small mistake and that it could be fixed after talking to costumer service. 
I found out that our tickets never had benn issued, there had been some complication with the payment ( eventhough the money had been taken from my account). Even though I had gotten a booking confirmation after the payment had been done, and I had been logged in a chosen meals for the flight just days before. 
I was now told that the only thing I could do is book a new flight and pay the price that was now ( more than 1000euros more expensive) they wouldn't reimburse me in any way and they couldn't give me the same price as I payed for the first tickets.

I'm so happy that I found it out before I was in the airport with my two kids. But I'm so angry that I didn't get any information from AirFrance that my booking was cancelled and that I didn't get any tickets. 
I'm sad that my family holiday might not happen at all now.","2022-01-11"
"1","Horrible company to avoid","Air France lost my luggage twice, but the worst thing is that I bought a ticket and that plane was cancelled. The company took the liberty of changing my ticket without warning me at times that were not convenient for me. They are forcing me to either cancel my return flight or change my ticket for dates that don't suit me by charging me an extra 20 euros. It's just catastrophic from dublin better to fly with their competitor air lingus disgusted with their customer service and to get them on the phone you have to wait for hours and they hang up on me. i understand those who are unhappy appealing for consumer rights just abuse of power","2022-01-10"
"1","Air France ground staff at Cancun Airport","My baggage was lost by KLM airline in AMS on the flight from AMS to CUN. 
Two days after they sent it with Air France airline to Cancun.
I got to know the flight number and went to the terminal just to collect it by the time the flight arrived. 
The Air France ground staff was so NOT helpful. They kept sending me off and told me to wait for 2 hours. Everyone was so rude and just wanted to get rid of me .
I tried to explain that I already spent 2 days without my luggage. 
I've been waiting for 2 hours in the terminal just to collect my bag when the flight had landed long ago. I asked for help from the Air France ground staff supervisor Hector David Diosdado Labra who was the most helpless and rude. AIR FRANCE, YOU DON'T WANT THIS PERSON WORKING FOR YOU!","2022-01-10"
"1","Expensive with a side of misplaced luggage & no refund for 2 months","I was flying from Ljubljana to London (and back) and paid 800 EUR for the tickets. Only to get my luggage misplaced both times! It has been two months since the trip and I am still waiting on a refund for the things I had to purchase while in London without any luggage.","2022-01-10"
"1","Bad customer service","I am very disappointed of Air France. Me and my family have always use Air france for our trips to Bamako and different other places. However, from now we will be going to competition ( Turkish Airline, Ethipian Airline etc..).  Please guys , stay away from them. Customer service is not their focus. They are only after money, no matter what. They lie just get their money. They owe me money and are refusing to reimburse me. They keep putting me on hold and keep transferring me to everyone in the comapny and no result.","2022-01-05"
"4","Long but great flight, good entertainment","Great entertainment on board the flight  in economy. Food was ok. Try to ask at checkin what is the price for upgrade sometimes you might get lucky.","2022-01-05"
"5","AirFrance ❤️","For me is the best ever becouse 
because they help you a lot, they helped me infinitely a lot today, I am very grateful to you.  also gave me free tickets due to a hassle","2022-01-02"
